municipio_codigo,municipio_nombre,poblacion_empadronada,rango_edad,sexo
12,Anchuelo,18,De 70 a 74 años,Mujer
12,Anchuelo,13,De 75 a 79 años,Mujer
12,Anchuelo,7,De 80 a 84 años,Mujer
12,Anchuelo,12,De 85 a 89 años,Mujer
12,Anchuelo,4,De 90 a 94 años,Mujer
12,Anchuelo,1,De 95 a 99 años,Mujer
12,Anchuelo,0,De 100 y más años,Mujer
13,Aranjuez,1642,De 0 a 4 años,Hombre
13,Aranjuez,2018,De 5 a 9 años,Hombre
13,Aranjuez,1680,De 10 a 14 años,Hombre
13,Aranjuez,1495,De 15 a 19 años,Hombre
13,Aranjuez,1486,De 20 a 24 años,Hombre
13,Aranjuez,1493,De 25 a 29 años,Hombre
13,Aranjuez,1872,De 30 a 34 años,Hombre
13,Aranjuez,2472,De 35 a 39 años,Hombre
13,Aranjuez,2685,De 40 a 44 años,Hombre
13,Aranjuez,2427,De 45 a 49 años,Hombre
13,Aranjuez,2025,De 50 a 54 años,Hombre
13,Aranjuez,1799,De 55 a 59 años,Hombre
13,Aranjuez,1384,De 60 a 64 años,Hombre
13,Aranjuez,1200,De 65 a 69 años,Hombre
13,Aranjuez,1036,De 70 a 74 años,Hombre
13,Aranjuez,682,De 75 a 79 años,Hombre
